,timestamp,user_id,department,event_type,resource,location,device,failed_logins,files_downloaded,data_transfer_mb,risk_score,risk_level,alert_reason
1371,2026-06-12T23:51:00.000,U1008,Support,download,customer_pii,Singapore,personal_laptop,0,64,980.65,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, excessive downloads, large data transfer"
1372,2026-06-13T03:08:00.000,U1002,Engineering,login,finance_records,London,unknown_device,6,3,1155.78,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, multiple failed logins, large data transfer"
1469,2026-06-13T23:24:00.000,U1003,Sales,download,customer_pii,London,unknown_device,2,79,1471.23,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, excessive downloads, large data transfer"
1470,2026-06-14T04:51:00.000,U1006,Engineering,database_query,payroll_database,Unknown,new_mobile,0,0,430.54,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, large data transfer"
1567,2026-06-15T02:41:00.000,U1002,Engineering,login,executive_reports,Singapore,unknown_device,0,2,820.25,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, large data transfer"
1760,2026-06-17T04:44:00.000,U1002,Engineering,database_query,payroll_database,Singapore,personal_laptop,2,4,1498.53,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, large data transfer"
2054,2026-06-19T23:43:00.000,U1005,Operations,download,customer_pii,London,new_mobile,2,83,252.44,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, excessive downloads, large data transfer"
1858,2026-06-18T03:54:00.000,U1001,Finance,login,finance_records,Unknown,unknown_device,3,4,1189.95,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, multiple failed logins, large data transfer"
1955,2026-06-18T23:28:00.000,U1002,Engineering,download,customer_pii,Singapore,unknown_device,2,80,332.24,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, excessive downloads, large data transfer"
1956,2026-06-19T01:47:00.000,U1004,Human Resources,download,source_code_repository,Singapore,unknown_device,2,70,489.39,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, excessive downloads, large data transfer"
2055,2026-06-20T04:22:00.000,U1001,Finance,database_query,payroll_database,Singapore,new_mobile,0,1,613.22,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, large data transfer"
1957,2026-06-19T04:37:00.000,U1005,Operations,database_query,payroll_database,Dubai,personal_laptop,0,4,1273.98,100,Critical,"ML anomaly, after-hours activity, sensitive resource access, large data transfer"
970,2026-06-08T19:12:00.000,U1004,Human Resources,database_query,ticketing_system,Delhi,office_desktop,2,0,11.21,52,Medium,ML anomaly
1761,2026-06-17T08:00:00.000,U1001,Finance,download,email,Bengaluru,managed_laptop,2,3,24.17,50,Medium,ML anomaly
